gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_type
ENSG00000227232.5	138.7555170793617	0.5674359012304685	0.8795537513957312	0.6451406754050284	0.5188360266469805	0.7658558476791734	WASH7P	unprocessed_pseudogene
ENSG00000278267.1	12.881279187192849	-0.8078751716352172	2.0680342395759768	-0.39064883751676244	0.6960568212758629	0.8696481245914522	MIR6859-1	miRNA
ENSG00000238009.6	9.418153518484592	-0.2660010015777091	1.607692443362128	-0.1654551544830476	0.8685857448165462	0.9500653910611319	ENSG00000238009	lncRNA
ENSG00000268903.1	45.527557576582375	-1.5696110522675617	1.203206861791408	-1.3045230226917328	0.19205531501007359	0.45535725832588125	ENSG00000268903	processed_pseudogene
ENSG00000269981.1	40.996360844773605	-2.9629785130367785	1.394447984174519	-2.1248397549879163	0.03359998633324989	0.1491439845665942	ENSG00000269981	processed_pseudogene
ENSG00000241860.7	78.4828237152298	4.8907760847507715	1.074279798813301	4.552609190039083	5.29846450987781e-6	8.778354611395925e-5	ENSG00000241860	lncRNA
ENSG00000279457.4	247.80311883602593	0.608401055318351	0.7896666670534699	0.7704530034027065	0.44103122268848166	0.7087367380516518	WASH9P	unprocessed_pseudogene
ENSG00000228463.10	45.934010704818476	4.030832311461888	1.179767961430245	3.416631442148393	6.340104896597861e-4	0.006323994793991751	ENSG00000228463	transcribed_processed_pseudogene
ENSG00000290385.1	141.07716694423488	0.6423914125408536	0.8112108440682344	0.7918920429111268	0.4284236270173835	0.6979700270666764	ENSG00000290385	lncRNA
ENSG00000278757.1	6.75899287483052	5.740205470013133	2.8377216793106634	2.0228218686363695	0.04309151617154539	0.17737761433098578	U6	snRNA
ENSG00000230021.10	9.264274512283603	0.4646841344380608	1.627850390232398	0.28545874806819366	0.7752927044096521	0.9085138308076766	ENSG00000230021	transcribed_processed_pseudogene
ENSG00000225972.1	4.799993291826	-6.1893705201168565	2.8668891875845994	-2.1589151568608416	0.030856749758478956	0.14063774247303734	MTND1P23	unprocessed_pseudogene
ENSG00000225630.1	2016.481033817655	-4.940590153186278	0.686975378686585	-7.191800909418467	6.394222482632512e-13	3.1695027857904294e-11	MTND2P28	unprocessed_pseudogene
ENSG00000237973.1	751.9526120684062	-4.400205094700883	0.651066309533326	-6.7584592080258	1.3946690277860215e-11	5.812235410660307e-10	MTCO1P12	unprocessed_pseudogene
